,name,rating_team,match,side
0,Qatar,1.368003175863438,Qatar - Ecuador,home
1,Ecuador,2.4815402937673685,Qatar - Ecuador,away
2,England,3.001814779107355,England - IR Iran,home
3,IR Iran,3.6418646855328083,England - IR Iran,away
4,Senegal,4.3717461577723595,Senegal - Netherlands,home
5,Netherlands,3.2488515850961273,Senegal - Netherlands,away
6,United States,2.664946407304486,United States - Wales,home
7,Wales,3.984815402937673,United States - Wales,away
8,Argentina,1.0,Argentina - Saudi Arabia,home
9,Saudi Arabia,10.0,Argentina - Saudi Arabia,away
10,Denmark,2.822151647479158,Denmark - Tunisia,home
11,Tunisia,5.416038110361255,Denmark - Tunisia,away
12,Mexico,3.136562127828504,Mexico - Poland,home
13,Poland,3.529575228265185,Mexico - Poland,away
14,France,4.1583961889638745,France - Australia,home
15,Australia,3.254466057959508,France - Australia,away
16,Morocco,3.922588328701866,Morocco - Croatia,home
17,Croatia,2.2719333068678047,Morocco - Croatia,away
18,Germany,2.766369142901049,Germany - Japan,home
19,Japan,6.190231658748351,Germany - Japan,away
20,Spain,,Spain - Costa Rica,home
21,Costa Rica,,Spain - Costa Rica,away
22,Belgium,4.1583961889638745,Belgium - Canada,home
23,Canada,2.2031560142913857,Belgium - Canada,away
24,Switzerland,2.8109227017523963,Switzerland - Cameroon,home
25,Cameroon,2.8951397947031134,Switzerland - Cameroon,away
26,Uruguay,3.2937673680031763,Uruguay - Korea Republic,home
27,Korea Republic,2.350535926955141,Uruguay - Korea Republic,away
28,Portugal,2.9531560142913857,Portugal - Ghana,home
29,Ghana,3.1867804684398573,Portugal - Ghana,away
30,Brazil,4.3418023025009935,Brazil - Serbia,home
31,Serbia,3.5885271933306866,Brazil - Serbia,away
32,Wales,3.2825384222764136,Wales - IR Iran,home
33,IR Iran,5.5507854590824035,Wales - IR Iran,away
34,Qatar,3.0088328701865823,Qatar - Senegal,home
35,Senegal,3.7260817784835254,Qatar - Senegal,away
36,Netherlands,6.604324778740396,Netherlands - Ecuador,home
37,Ecuador,2.5354832683371087,Netherlands - Ecuador,away
38,England,2.7435490273918224,England - United States,home
39,United States,2.036125446605796,England - United States,away
40,Tunisia,3.961889638745534,Tunisia - Australia,home
41,Australia,5.547042477173482,Tunisia - Australia,away
42,Poland,4.1583961889638745,Poland - Saudi Arabia,home
43,Saudi Arabia,2.989182215164748,Poland - Saudi Arabia,away
44,France,4.538308852719334,France - Denmark,home
45,Denmark,3.4837236998809047,France - Denmark,away
46,Argentina,4.525208416038111,Argentina - Mexico,home
47,Mexico,2.1933306867804685,Argentina - Mexico,away
48,Japan,1.0928940055577612,Japan - Costa Rica,home
49,Costa Rica,6.595077411671299,Japan - Costa Rica,away
50,Belgium,1.8003175863437875,Belgium - Morocco,home
51,Morocco,4.6562127828503375,Belgium - Morocco,away
52,Croatia,5.054768375729075,Croatia - Canada,home
53,Canada,4.13421076739854,Croatia - Canada,away
54,Spain,3.0196659235960555,Spain - Germany,home
55,Germany,4.2823464744862125,Spain - Germany,away
56,Cameroon,4.558178893044442,Cameroon - Serbia,home
57,Serbia,3.786632122187167,Cameroon - Serbia,away
